"","Asian","Black","Chinese","Mixed","White","Other"
"","Value","Value","Value","Value","Value","Value"
"All Regions","5.8","3.1","0.3","1.4","88.8","0.5"
"North East","0.9","0.3","0.1","0.6","97.8","0.2"
"North West","3.2","0.8","0.2","1.1","94.3","0.3"
"Yorkshire and The Humber","5.4","1.2","0.2","1.1","91.8","0.4"
"East Midlands","8.2","1.9","0.1","1.3","88.2","0.3"
"West Midlands","11.8","3.8","0.1","1.4","82.4","0.5"
"East","4.6","2.1","0.3","1.4","90.9","0.6"
"London","16.3","11.8","0.7","3.0","67.0","1.2"
"South East","3.1","1.4","0.3","1.2","93.6","0.5"
"South West","1.2","0.8","0.2","1.0","96.4","0.4"
"Wales","0.8","0.4","0.2","0.8","97.5","0.3"
"Scotland","1.0","0.3","0.1","0.5","97.9","0.2"
"Northern Ireland","0.3","!","!","0.3","99.3","!"
